snapshot_time,event_id,commence_time,home_team,away_team,home_no_vig_prob,away_no_vig_prob,home_best_odds,away_best_odds,home_best_book,away_best_book,books
2026-08-31 18:52:11.380731+00:00,07d39d9ad653030c4c89d9a08c4071f5,2026-08-31 22:05:00+00:00,Atlanta Braves,San Francisco Giants,0.6434625021003824,0.35653749789961764,-188.0,182.0,MyBookie.ag,FanDuel,9
2026-08-31 18:52:11.380731+00:00,e1f7344d0c058a992d4c4757aee4a30e,2026-08-31 22:41:00+00:00,Cincinnati Reds,San Diego Padres,0.42654085785612683,0.5734591421438732,132.0,-138.0,BetOnline.ag,FanDuel,9
2026-08-31 18:52:11.380731+00:00,181d022629a9f3260d9dac6c16488626,2026-08-31 22:41:00+00:00,Tampa Bay Rays,New York Mets,0.6126185775730907,0.3873814224269093,-166.0,157.0,FanDuel,DraftKings,9
2026-08-31 18:52:11.380731+00:00,0716778828c519a9f9b861e4cc6e584e,2026-08-31 22:46:00+00:00,Boston Red Sox,Seattle Mariners,0.600546443412942,0.3994535565870579,-158.0,147.0,FanDuel,DraftKings,9
2026-08-31 18:52:11.380731+00:00,d119b7382bfaef2bf17260cdd10bc93f,2026-08-31 22:46:00+00:00,Washington Nationals,Miami Marlins,0.4961066125951553,0.5038933874048448,101.0,100.0,DraftKings,BetRivers,9
2026-08-31 18:52:11.380731+00:00,bcc3638b15d4c0c030d5df3b7ec8cc64,2026-08-31 23:41:00+00:00,Chicago Cubs,Milwaukee Brewers,0.5082982019418316,0.49170179805816844,-107.0,101.0,LowVig.ag,DraftKings,9
2026-08-31 18:52:11.380731+00:00,6f6963dcaf33c0aad62a9afd7a3bbf02,2026-08-31 23:41:00+00:00,Minnesota Twins,Detroit Tigers,0.5294977078312085,0.47050229216879136,-116.0,110.0,LowVig.ag,FanDuel,9
2026-08-31 18:52:11.380731+00:00,549c54f6179a86f15320af40d6e2a7d5,2026-09-01 00:06:00+00:00,Texas Rangers,Athletics,0.6607874212109024,0.33921257878909755,-210.0,195.0,FanDuel,DraftKings,9
2026-08-31 18:52:11.380731+00:00,1174006e7c33c8df06432e646f83b04d,2026-09-01 00:11:00+00:00,Houston Astros,Chicago White Sox,0.5477227296988342,0.4522772703011658,-127.0,120.0,BetOnline.ag,FanDuel,9
2026-08-31 18:52:11.380731+00:00,25cef778b3e407c237781a8c82899494,2026-09-01 00:41:00+00:00,Colorado Rockies,Baltimore Orioles,0.448175791703553,0.5518242082964471,120.0,-126.0,DraftKings,FanDuel,9
2026-08-31 18:52:11.380731+00:00,1a445560d2b4ababdc8ae392129d42cb,2026-09-01 01:38:00+00:00,Los Angeles Angels,New York Yankees,0.46411001107754746,0.5358899889224527,114.0,-119.0,BetRivers,DraftKings,9
2026-08-31 18:52:11.380731+00:00,a7e19db363201c4f9f334c8e70c4ae71,2026-09-01 01:41:00+00:00,Arizona Diamondbacks,Philadelphia Phillies,0.47320310404803617,0.5267968959519638,108.0,-114.0,DraftKings,FanDuel,9
2026-08-31 18:52:11.380731+00:00,764521fed86b5329011236a43540951b,2026-09-01 22:41:00+00:00,Cincinnati Reds,San Diego Padres,0.4631681766961012,0.5368318233038987,114.0,-120.0,FanDuel,LowVig.ag,4
2026-08-31 18:52:11.380731+00:00,81a434657f4b4211068ffd662aa0e939,2026-09-01 22:41:00+00:00,Cleveland Guardians,Toronto Blue Jays,0.6113446518371359,0.388655348162864,-166.0,152.0,LowVig.ag,FanDuel,4
